competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Clean Energy Consulting Inc.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,QCA Systems Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,CIMA Canada Inc.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Stantec Consulting Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,AECOM Canada Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Kontzamanis Graumann Smith MacMillan Inc.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Associated Engineering (B.C.) Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Klohn Crippen Berger Ltd.,NA,No
24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,SR Engineering Ltd.,"$126,679",Yes
24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,EXP Services Inc.,NA,No
24-122,RFP,Manor House - Design Consulting Services for Interior and Exterior Upgrade,16-Jun-24,Francl Architecture Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Dillon Consulting Ltd.,"$361,086",Yes
23-419,RFP,Customer Surveys Program,17-Jun-24,PRA Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Leger Marketing Alberta Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Customer Service Professionals Network Inc.,NA,No
23-419,RFP,Customer Surveys Program,17-Jun-24,Justason Market Intelligence Inc.,NA,No
23-266,RFP,Iona Island Wastewater Treatment Plant I/O Upgrade Project,19-Jun-24,enCompass Solutions Group,"$316,924",Yes
23-266,RFP,Iona Island Wastewater Treatment Plant I/O Upgrade Project,19-Jun-24,J A Electric Inc.,NA,No
24-215,SS/NOIC,UPS Batteries Replacement Service at Seymour Capilano Filtration Plant (SCFP),20-Jun-24,Arbutus West Agency Ltd.,"$96,245",Yes
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Signia Construction Ltd.,"$6,762,920",Yes
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,MetroVan Construction Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Roma Building Restoration Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,New City Contracting Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,RJS Construction Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,Eggert Projects Ltd.,NA,No
23-435,ITT,Construction Services for Minato West Building Envelope Rehabilitation,21-Jun-24,All Round Home Improvements & Restorations Ltd.,NA,No
24-046,Co-Operative Procurement,Supply and Delivery of Canoe Services -New Xerox Equipment,13-Feb-24,Xerox Canada Ltd.,"$1,234,018",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Portable Scanning Kiosk,21-Jun-24,CDW Canada Corporation,"$64,032",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Motor Grader for the Watershed and Environmental Management Division,24-Jun-24,Finning International Inc.,"$587,200",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Motor Grader for the Watershed and Environmental Management Division,24-Jun-24,Brandt Tractor Ltd. (John Deere Construction Retail Sales),NA,No
24-046,Co-Operative Procurement,Supply and Delivery ChargePoint Express Plus DC Fast Charging Platform,2-Jul-24,Foreseeson EVSE Technology,"$149,693",Yes
24-046,Co-Operative Procurement,Supply and Delivery BIG-IP APPI TRAFFIC MGR,11-Jul-24,CDW Canada Corporation,"$200,052",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Canoe Services - Adobe Acrobat Subscription,18-Sep-24,CDW Canada Corporation,"$577,346",Yes
24-046,Co-Operative Procurement,Supply and Delivery of Canoe Services - Security Suites,20-Sep-24,CDW Canada Corporation,"$379,992",Yes
22-452,RFP,Construction of Header Replacement for Harbour Pump Station,24-Jun-24,Mitchell Installations Ltd.,"$2,458,739",Yes
22-452,RFP,Construction of Header Replacement for Harbour Pump Station,24-Jun-24,Brymark Installations Group Inc.,NA,No
23-061,RFP,Supply and Delivery of Cellular Devices,24-Jun-24,Rogers Communications Canada Inc.,"$2,217,497",Yes
24-226,ITQ,Heather Place C - Quantity Surveyor Services ITQ,24-Jun-24,Hanscomb Loan Monitoring Inc.,"$77,900",Yes
24-226,ITQ,Heather Place C - Quantity Surveyor Services ITQ,24-Jun-24,BTY Consultancy Group Ltd.,NA,No
23-271,ITT,Woodhaven Boardwalk Replacement Project,26-Jun-24,Skylark Management Corp.,"$221,609",Yes
23-271,ITT,Woodhaven Boardwalk Replacement Project,26-Jun-24,Platinum Stone Contracting Ltd.,NA,No
23-271,ITT,Woodhaven Boardwalk Replacement Project,26-Jun-24,Park Solutions Inc.,NA,No
24-179,SS/NOIC,Gensym Annual Support and Licensing,1-Jul-24,"ESW Operations, LLC","$420,500",Yes
24-162,RFP,Construction of the Phase 2 Perimeter Trail Expansion in Campbell Valley Regional Park,3-Jul-24,Skylark Management Corp.,"$848,131",Yes
24-162,RFP,Construction of the Phase 2 Perimeter Trail Expansion in Campbell Valley Regional Park,3-Jul-24,Cedar Crest Lands (B.C.) Ltd.,NA,No
23-147,RFP,Annacis Island Wastewater Treatment Plant Secondary Clarifiers Service Areas 4-6 I/O Migration Consulting Engineering Services,3-Jul-24,Tetra Tech Canada Inc.,"$369,894",Yes
23-147,RFP,Annacis Island Wastewater Treatment Plant Secondary Clarifiers Service Areas 4-6 I/O Migration Consulting Engineering Services,3-Jul-24,BBA Engineering Ltd.,NA,No
23-147,RFP,Annacis Island Wastewater Treatment Plant Secondary Clarifiers Service Areas 4-6 I/O Migration Consulting Engineering Services,3-Jul-24,Brown & Caldwell,NA,No
23-354,RFP,Annacis Main No. 2 Pipe Joints Inspection and Repairs Under Queensborough Bridge,8-Jul-24,Acuren Group Inc.,"$1,356,613",Yes
23-112,ITT,Supply and Installation of a Dry Polymer Make-up Feeding System,9-Jul-24,Archer Separation Inc.,"$146,005",Yes
23-076,SS/NOIC,Consulting Engineering Services Support for Additional Enhanced Tests in the Pilot Testing Program at the Lulu Island Pilot Digestion Optimization Facility,17-Jul-24,Brown & Caldwell,"$513,698",Yes
24-247,ITQ,Palisade Outlet Works Rehabilitation,17-Jul-24,Pacific Ropes Contracting Ltd.,"$112,362",Yes
24-247,ITQ,Palisade Outlet Works Rehabilitation,17-Jul-24,Spectrum Safety Group,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,MNP LLP,"$92,295.00",Yes
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,AE COM Canada,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Cascadia Strategy Consulting,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Deetken Enterprises,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Deloitte,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,EBP US,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,KPMG LLP,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Optimus SBR,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Price Waterhouse,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Quatalyst Research Group,NA,No
24-175,RFP,Regional Economic Development Strategy (REDS) Phase 1,18-Jul-24,Resonance Consulting Agency,NA,No
23-444,RFP,Iona Island WWTP Replacement of Switches Construction,19-Jul-24,Ross Morrison Electrical Ltd.,"$189,870",Yes
22-481,RFP,Construction of South Surrey Interceptor Delta Section Air Management Facility Project,21-Jul-24,Tritech Group Ltd.,"$361,052",Yes
22-481,RFP,Construction of South Surrey Interceptor Delta Section Air Management Facility Project,21-Jul-24,Industra Construction Corp.,NA,No
24-296,SS/NOIC,Detailed Design Deposit for Construction Power,22-Jul-24,BC Hydro,"$821,000",Yes
24-416,SS/NOIC,Genset Rental at Sapperton Pump Station,24-Jul-24,"United Rental of Canada, Inc.","$1,869,005",Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,AECOM Canada Ltd.,"$750,000",Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,AtkinsRéalis Canada Inc.,,Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,Parsons Inc.,,Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,R.F. Binnie & Associates Ltd.,,Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,Stantec Consulting Ltd.,,Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,McElhanney Ltd.,,Yes
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,Arcadis Professional Services (Canada) Inc.,NA,No
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,Watt Consulting Group,NA,No
23-258,RFP-MA,Traffic Engineering Consulting Services,26-Jul-24,ISL Engineering and Land Services Ltd.,NA,No
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,Maven Consulting Ltd.,"$4,500,000",Yes
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,RAM Engineering Ltd.,,Yes
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,WSP Canada Inc.,,Yes
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,Stantec Consulting Ltd.,,Yes
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,R.F. Binnie & Associates Ltd.,,Yes
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,k2AE Engineering & Consulting Ltd.,NA,No
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,AXIS Inspection Group Ltd.,NA,No
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,Aplin & Martin Consultants Ltd.,NA,No
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,ISL Engineering and Land Services Ltd.,NA,No
23-432,RFP-MA,Civil Construction Inspection Services,2-Aug-24,Project Talent Acquisition Group Inc.,NA,No
24-320,SS/NOIC,Zero Waste Conference 2025 License,2-Aug-24,Vancouver Convention Centre,"$222,738",Yes
24-013,RFP,Reusable Cup & Container Platform,7-Aug-24,West Coast Healthy Vending Inc.,"$75,000",Yes
24-013,RFP,Reusable Cup & Container Platform,7-Aug-24,Circular Solutions Inc.,NA,No
23-268,ITT,"Site Preparation, Installation, Tie-in Connections and Commissioning for the IIWWTP Pilot Plant Contract",12-Aug-24,Graham Infrastructure LP,"$4,962,200",Yes
23-268,ITT,"Site Preparation, Installation, Tie-in Connections and Commissioning for the IIWWTP Pilot Plant Contract",12-Aug-24,Pomerleau Inc.,NA,No
23-268,ITT,"Site Preparation, Installation, Tie-in Connections and Commissioning for the IIWWTP Pilot Plant Contract",12-Aug-24,Tritech Group Ltd.,NA,No
24-115,ITT,Crescent Beach Pump Station Discharge Pipe Replacement Diving Services,13-Aug-24,Advanced Subsea Services Ltd.,"$78,700",Yes
24-249,ITT,Installation Services for Electric Vehicle Charging Stations at Lake City Area 3,13-Aug-24,J A Electric Inc.,"$229,000",Yes
24-204,ITT,Culvert and Headwall Improvements at Widgeon Marsh Regional Park,15-Aug-24,Skylark Management Corp.,"$528,223",Yes
18-023,RFP,Consulting Engineering Services for Capilano Main No. 5 Stanley Park Water Supply Tunnel,16-Aug-24,Mott MacDonald Canada Ltd.,"$24,129,946",Yes
20-097,RFP,Construction Management Services for Capilano Main No. 5 (South Shaft to Chilco) – Stanley Park Water Supply Tunnel,16-Aug-24,Delve Underground Canada Corp. ULC,"$13,942,932",Yes
24-124,RFP,Water Supply Plan Using Adaptive Pathways,16-Aug-24,GHD Ltd.,"$594,012",Yes
24-124,RFP,Water Supply Plan Using Adaptive Pathways,16-Aug-24,Carollo Engineers Canada Ltd.,NA,No
24-124,RFP,Water Supply Plan Using Adaptive Pathways,16-Aug-24,CDM Smith Canada ULC,NA,No
24-161,SS/NOIC,Supply and delivery of Materials for The North Shore WWTP,16-Aug-24,MLM Conveying Systems Inc.,"$2,456,604",Yes
24-252,ITT,Roof Replacement - Agricultural Hall (Deas Island Regional Park) & Karr Mercer Barn (Derby Reach Regional Park),21-Aug-24,Mack Kirk Roofing and Sheet Metal Ltd.,"$109,900",Yes
24-252,ITT,Roof Replacement - Agricultural Hall (Deas Island Regional Park) & Karr Mercer Barn (Derby Reach Regional Park),23-Aug-24,Flynn Canada Ltd.,"$123,957",Yes
24-252,ITT,Roof Replacement - Agricultural Hall (Deas Island Regional Park) & Karr Mercer Barn (Derby Reach Regional Park),21-Aug-24,Bollman Roofing & Sheet Metal Ltd.,NA,No
24-252,ITT,Roof Replacement - Agricultural Hall (Deas Island Regional Park) & Karr Mercer Barn (Derby Reach Regional Park),21-Aug-24,Cambie Roofing Contractors Ltd.,NA,No
24-114,ITT,Crescent Beach Pump Station Discharge Pipe Replacement Temporary Bypass,23-Aug-24,Canadian Dewatering LP,"$457,082",Yes
24-114,ITT,Crescent Beach Pump Station Discharge Pipe Replacement Temporary Bypass,23-Aug-24,NCS Fluid Handling Systems Inc.,NA,No
24-114,ITT,Crescent Beach Pump Station Discharge Pipe Replacement Temporary Bypass,23-Aug-24,"United Rental of Canada, Inc.",NA,No
24-079,RFP,Consulting Engineering Services for Lulu Island Wastewater Treatment Plant (LIWWTP) Gravity Thickener Redundancy,26-Aug-24,AECOM Canada Ltd.,"$863,409",Yes
24-079,RFP,Consulting Engineering Services for Lulu Island Wastewater Treatment Plant (LIWWTP) Gravity Thickener Redundancy,26-Aug-24,CDM Smith Canada ULC,NA,No
24-079,RFP,Consulting Engineering Services for Lulu Island Wastewater Treatment Plant (LIWWTP) Gravity Thickener Redundancy,26-Aug-24,AtkinsRéalis Canada Inc.,NA,No
23-116,RFP,Consulting Engineering Services for the Cambie-Richmond Water Supply Tunnel - Fraser River Crossing,28-Aug-24,Mott MacDonald Canada Ltd.,"$5,958,075",Yes
23-116,RFP,Consulting Engineering Services for the Cambie-Richmond Water Supply Tunnel - Fraser River Crossing,28-Aug-24,Delve Underground Canada Corp. ULC,NA,No
23-116,RFP,Consulting Engineering Services for the Cambie-Richmond Water Supply Tunnel - Fraser River Crossing,28-Aug-24,Hatch Ltd.,NA,No
24-020,RFP,Supply and Delivery Valves - Stanley Park Water Supply Tunnel Bypass Piping,4-Sep-24,CB Process Instrumentation & Controls,"$706,400",Yes
23-308,ITT,Supply and Installation for Auto-sampler Kiosks at Clark Drive & Heather Combined Sewer Overflow (CS) Monitoring Site,4-Sep-24,J A Electric Inc.,"$629,500",Yes
23-041,RFP,Consulting Engineering Services for the Iona Island Wastewater Treatment Plant Upgrade Project,5-Sep-24,Fraser Delta Group,"$60,574,702",Yes
23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works),5-Sep-24,BD Hall Constructors,"$90,000",Yes
23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works),5-Sep-24,B&B Contracting (2012) Ltd.,NA,No
23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave. (Early Works),5-Sep-24,Michels Canada Co.,NA,No
23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.,25-Oct-24,BD Hall Constructors,"$29,630,452",Yes
23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.,25-Oct-24,B&B Contracting (2012) Ltd.,NA,No
23-132,ITT,Installation of Central Park Main No. 2 – Phase 2A: Macpherson Ave to Griffiths Ave.,25-Oct-24,Michels Canada Co.,NA,No
24-395,SS/NOIC,Supply and Delivery of Repair Materials to Coquitlam Main No. 4 Central Section,9-Sep-24,Thompson Pipe Group Pressure,"$727,900",Yes
24-272,RFP,Wastewater Treatment Plant Effluent Discharge Objectives,12-Sep-24,Kerr Wood Leidal Associates Ltd.,"$78,933",Yes
23-341,RFP,Stanley Park Water Supply Tunnel Project – South Shaft and Bypass Piping Fabrication and Supply,16-Sep-24,Northwest Pipe Company,"$5,765,599",Yes
23-341,RFP,Stanley Park Water Supply Tunnel Project – South Shaft and Bypass Piping Fabrication and Supply,16-Sep-24,Ideal Welders Ltd.,NA,No
23-439,SS/NOIC,Supply and Delivery of Material for The North Shore Wastewater Treatment Plant,18-Sep-24,Hoisting Ltd.,"$5,563,150",Yes
24-188,RFP,External Audit Services,19-Sep-24,KPMG LLP,"$1,188,800",Yes
24-188,RFP,External Audit Services,19-Sep-24,BDO Canada LLP,NA,No
24-388,SS/NOIC,"Supply and Installation of one 36"" Line Stop on the Existing Central Park Main",20-Sep-24,Pacific Control Ltd.,"$200,122",Yes
24-157,SS/NOIC,Preventive Routine Maintenance (EPRM) Plan and Spare parts supplies for NX700 Turbo Blowers,20-Sep-24,APG Neuros Inc.,"$161,729",Yes
24-205,RFP,Site Support Services for the Cleveland Dam Drum Gate Seal Replacement,23-Sep-24,Pacific Ropes Contracting Ltd.,"$410,507",Yes
24-205,RFP,Site Support Services for the Cleveland Dam Drum Gate Seal Replacement,23-Sep-24,Mitchell Installations Ltd.,NA,No
24-315,RFP,"Water Services and Liquid Waste Services Facility Criticality & Risk Framework, Phase 2",25-Sep-24,GEI Consultants Inc.,"$130,978",Yes
24-315,RFP,"Water Services and Liquid Waste Services Facility Criticality & Risk Framework, Phase 2",25-Sep-24,GHD Ltd.,NA,No
23-346,RFP,Stanley Park Water Supply Tunnel,26-Sep-24,Burrard-Chilco Partnership,"$318,186,261",Yes
23-346,RFP,Stanley Park Water Supply Tunnel,26-Sep-24,Kiewit Construction Services ULC,NA,No
23-346,RFP,Stanley Park Water Supply Tunnel,26-Sep-24,Southland Mole of Canada,NA,No
23-346,RFP,Stanley Park Water Supply Tunnel,26-Sep-24,AECON,NA,No
23-346,RFP,Stanley Park Water Supply Tunnel,26-Sep-24,Flatiron Constructors Canada Ltd.,NA,No
24-442,SS/NOIC,Gartner for Technical Professionals Advisor Small and Midsize Business Enterprise Access and IT Leadership Team Leader / Role Member,1-Oct-24,Gartner Canada Co.,"$929,919",Yes
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,AECOM Canada Ltd.,"$827,950",Yes
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Tetra Tech Canada Inc.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Worley Canada Services Ltd.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,CIMA Canada Inc.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Astra Zeidan Inc.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Sacre‐Davey Engineering,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,AtkinsRéalis Canada Inc.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Carollo Engineers Canada Ltd.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,GHD Ltd.,NA,No
24-044,RFP,Consulting Engineering Services for Renewable Natural Gas Facility at Iona Island WWTP,2-Oct-24,Brown & Caldwell,NA,No
24-120,RFP,Walnut Shell Blasting of Boiler Tubes,2-Oct-24,Prime Boiler Services Ltd.,"$96,119",Yes
24-120,RFP,Walnut Shell Blasting of Boiler Tubes,2-Oct-24,Quantam Industrial Solutions Inc.,NA,No
24-230,ITT,Montrose Main No. 2 Construction,2-Oct-24,Oscar Renda Contracting Of Canada,"$1,670,830",Yes
24-230,ITT,Montrose Main No. 2 Construction,2-Oct-24,BD Hall Constructors,NA,No
24-230,ITT,Montrose Main No. 2 Construction,2-Oct-24,Michels Canada Co.,NA,No
24-230,ITT,Montrose Main No. 2 Construction,2-Oct-24,JJM Constructors Ltd.,NA,No
24-153,RFP,Architect and Design Services for Affordable Housing Project - Riverside Drive,4-Oct-24,Integra Architecture Inc.,"$1,760,583",Yes
24-153,RFP,Architect and Design Services for Affordable Housing Project - Riverside Drive,4-Oct-24,Ryder Architecture (Canada) Inc.,NA,No
24-153,RFP,Architect and Design Services for Affordable Housing Project - Riverside Drive,4-Oct-24,"Perkins Eastman Architects Canada, Ltd",NA,No
24-153,RFP,Architect and Design Services for Affordable Housing Project - Riverside Drive,4-Oct-24,NSDA Architects,NA,No
24-153,RFP,Architect and Design Services for Affordable Housing Project - Riverside Drive,4-Oct-24,Carscadden Stokes McDonald Architects Inc.,NA,No
24-153,RFP,Architect and Design Services for Affordable Housing Project - Riverside Drive,4-Oct-24,Aplin & Martin Consultants Ltd.,NA,No
24-394,SS/NOIC,Seymour Falls Dam Ground Water Model Update,7-Oct-24,Klohn Crippen Berger Ltd.,"$261,919",Yes
24-361,ITT,Tynehead Regional Park – Gerow Barn Roof Replacement,7-Oct-24,Bollman Roofing & Sheet Metal Ltd.,"$122,550",Yes
24-361,ITT,Tynehead Regional Park – Gerow Barn Roof Replacement,7-Oct-24,Flynn Canada Ltd.,NA,No
24-405,SS/NOIC,Communications and Engagement Support Services,8-Oct-24,Nanette Van Doorn,"$607,365",Yes
24-232,ITQ,Archaeological Impact Assessment for the South Surrey Interceptor – Delta Section Rehabilitation,9-Oct-24,ISL Engineering and Land Services Ltd.,"$202,467",Yes
22-167,RFP,Construction Management for Services and Construction (At-Risk) for Metro Vancouver Housing Corporation (Early Works Portion for The Connection (Eastburne)),15-Apr-24,Kinetic Construction Ltd.,"$2,250,000",Yes
22-167,RFP,Construction Management for Services and Construction (At-Risk) for The Connection (Eastburne) Affordable Housing Development,10-Oct-24,Kinetic Construction Ltd.,"$94,135,363",Yes
